"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYGK",2026-09-01 03:00:00,2026-08-31 23:00:00,"MVFR",20,18,88,110,4,24140.16,30.02,NA,"BKN  ft; OVC  ft","METAR CYGK 010300Z 11004KT 15SM BKN024 OVC190 20/18 A3002 RMK SC7AC1 LAST STFD OBS/NXT 011000Z SLP168 DENSITY ALT 900FT",2026-09-01 07:47:02.209938,2026-09-01 03:47:02.209938
"CYQG",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",24,22,88,240,6,14484.1,29.95,NA,"BKN  ft","METAR CYQG 010700Z AUTO 24006KT 9SM BKN160 24/22 A2995 RMK SLP140 DENSITY ALT 1800FT",2026-09-01 07:47:02.24243,2026-09-01 03:47:02.24243
"CYVV",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",22,20,88,230,5,9999,29.89,NA,"OVC  ft","METAR CYVV 010700Z 23005KT 10SM OVC038 22/20 A2989 RMK SC8 SLP121 DENSITY ALT 1800FT",2026-09-01 07:47:02.297083,2026-09-01 03:47:02.297083
"CYYZ",2026-09-01 07:24:00,2026-09-01 03:24:00,"LIFR",20,20,100,90,3,1005.84,29.9,NA,"OVC  ft","SPECI CYYZ 010724Z 09003KT 5/8SM R06L/2400V2800FT/N R05/2000V2400FT/N BR OVC003 20/20 A2990 RMK FG5ST3 SLP127 DENSITY ALT 1400FT",2026-09-01 07:47:02.350256,2026-09-01 03:47:02.350256
"CYQA",2026-09-01 07:00:00,2026-09-01 03:00:00,"LIFR",19,19,100,140,4,2414.02,29.92,NA,"OVC  ft","METAR CYQA 010700Z AUTO 14004KT 1 1/2SM BR OVC003 19/19 A2992 RMK SLP133 DENSITY ALT 1600FT",2026-09-01 07:47:02.40278,2026-09-01 03:47:02.40278
"CYVR",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",17,17,100,280,7,24140.16,29.77,NA,NA,"METAR CYVR 010700Z 28007KT 15SM SKC 17/17 A2977 RMK SLP082 DENSITY ALT 400FT",2026-09-01 07:47:02.434975,2026-09-01 03:47:02.434975
"CYYJ",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",14,12,87,270,3,32186.88,29.77,NA,"FEW  ft","METAR CYYJ 010700Z 27003KT 20SM FEW250 14/12 A2977 RMK CI1 SLP084",2026-09-01 07:47:02.467562,2026-09-01 03:47:02.467562
"CYLW",2026-09-01 07:41:00,2026-09-01 03:41:00,"VFR",13,10,82,60,4,12874.75,29.81,NA,NA,"SPECI CYLW 010741Z AUTO 06004KT 8SM CLR 13/10 A2981 RMK SLP096 DENSITY ALT 1700FT",2026-09-01 07:47:02.497444,2026-09-01 03:47:02.497444
"CYXS",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",12,12,100,180,2,14484.1,29.72,NA,"BKN  ft; BKN  ft; OVC  ft","METAR CYXS 010700Z AUTO 18002KT 9SM BKN060 BKN076 OVC160 12/12 A2972 RMK PCPN 1.2MM PAST HR SLP076 DENSITY ALT 2800FT",2026-09-01 07:47:02.530632,2026-09-01 03:47:02.530632
"CYXT",2026-09-01 07:36:00,2026-09-01 03:36:00,"IFR",11,11,100,290,4,3218.69,29.65,NA,"SCT  ft; OVC  ft","SPECI CYXT 010736Z 29004KT 2SM -RA BR SCT004 OVC025 11/11 A2965 RMK SF4SC4 SLP047",2026-09-01 07:47:02.566928,2026-09-01 03:47:02.566928
"CYQQ",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",16,12,77,290,4,32186.88,29.78,NA,"FEW  ft; FEW  ft","METAR CYQQ 010700Z 29004KT 20SM FEW150 FEW220 16/12 A2978 RMK AC1CI2 DENSITY ALT 500FT SLP086",2026-09-01 07:47:02.599995,2026-09-01 03:47:02.599995
"CYYC",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",13,6,62,NA,2,24140.16,29.9,NA,"FEW  ft","METAR CYYC 010700Z VRB02KT 15SM FEW240 13/06 A2990 RMK CI1 CI TR SLP126 DENSITY ALT 4300FT",2026-09-01 07:47:02.631094,2026-09-01 03:47:02.631094
"CYEG",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",11,9,87,130,7,32186.88,29.86,NA,"FEW  ft; BKN  ft","METAR CYEG 010700Z 13007KT 20SM FEW086 BKN250 11/09 A2986 RMK AC1CI6 SLP119",2026-09-01 07:47:02.667285,2026-09-01 03:47:02.667285
"CYMM",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",10,7,81,NA,2,14484.1,29.8,NA,NA,"METAR CYMM 010700Z AUTO VRB02KT 9SM CLR 10/07 A2980 RMK SLP102",2026-09-01 07:47:02.699987,2026-09-01 03:47:02.699987
"CYQF",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",10,5,71,180,5,14484.1,29.89,NA,NA,"METAR CYQF 010700Z AUTO 18005KT 9SM CLR 10/05 A2989 RMK SLP129 DENSITY ALT 3200FT",2026-09-01 07:47:02.732352,2026-09-01 03:47:02.732352
"CYXE",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",9,9,100,260,5,24140.16,29.87,NA,"FEW  ft","METAR CYXE 010700Z 26005KT 15SM FEW300 09/09 A2987 RMK CI2 SLP128",2026-09-01 07:47:02.791822,2026-09-01 03:47:02.791822
"CYQR",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",11,10,93,250,9,24140.16,29.9,NA,NA,"METAR CYQR 010700Z 25009KT 15SM SKC 11/10 A2990 RMK SLP140",2026-09-01 07:47:02.852186,2026-09-01 03:47:02.852186
"CYWG",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",15,13,87,250,12,24140.16,29.74,NA,NA,"METAR CYWG 010700Z 25012KT 15SM SKC 15/13 A2974 RMK SLP075 DENSITY ALT 1200FT",2026-09-01 07:47:02.901213,2026-09-01 03:47:02.901213
"CYBR",2026-09-01 07:29:00,2026-09-01 03:29:00,"VFR",15,14,93,260,12,14484.1,29.79,NA,"SCT  ft; SCT  ft; OVC  ft","SPECI CYBR 010729Z AUTO 26012G18KT 9SM SCT022 SCT030 OVC037 15/14 A2979 RMK SLP097 DENSITY ALT 1900FT",2026-09-01 07:47:02.937776,2026-09-01 03:47:02.937776
"CYUL",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",18,12,67,100,4,24140.16,30.03,NA,"FEW  ft; BKN  ft","METAR CYUL 010700Z 10004KT 15SM FEW080 BKN230 18/12 A3003 RMK AC1CI5 AC TR SLP170 DENSITY ALT 400FT",2026-09-01 07:47:02.973653,2026-09-01 03:47:02.973653
"CYHU",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",14,13,93,360,3,14484.1,30.04,NA,"BKN  ft","METAR CYHU 010700Z AUTO 36003KT 9SM BKN240 14/13 A3004 RMK SLP173",2026-09-01 07:47:03.013041,2026-09-01 03:47:03.013041
"CYQB",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",11,9,87,350,2,24140.16,30.09,NA,"SCT  ft","METAR CYQB 010700Z 35002KT 15SM SCT230 11/09 A3009 RMK CI3 SLP192",2026-09-01 07:47:03.050246,2026-09-01 03:47:03.050246
"CYVO",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",14,12,87,0,0,14484.1,29.99,NA,"OVC  ft","METAR CYVO 010700Z AUTO 00000KT 9SM OVC210 14/12 A2999 RMK SLP163",2026-09-01 07:47:03.082514,2026-09-01 03:47:03.082514
